system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
107,317.0,496.0,753.5,921.5,1029.0,1157.0,1291.0,1654.5,1030.5,1377.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23904914059298,35.40390790431232]}"
108,817.5,1177.5,1680.0,2010.5,2319.5,2514.5,2819.0,3271.0,2213.0,2822.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1494018495197,35.12228606274085]}"
109,399.0,745.0,727.0,1322.0,2568.0,2737.0,2994.0,1977.0,1163.0,2992.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47593488101529,35.73349978205577]}"
110,611.0,988.0,1218.0,1662.0,2188.0,2343.0,2456.0,2532.0,1683.0,2538.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.02624282406691,34.774368553201356]}"
111,1022.0,1409.0,1981.5,2258.0,2382.0,2547.0,2807.5,3606.0,2662.0,2851.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83490166854946,35.835099240689686]}"
112,462.0,683.0,962.0,1178.0,1333.0,1492.0,1658.0,2135.0,1425.0,1748.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32528740786846,34.79997053879877]}"
113,501.5,774.0,1051.0,1263.0,1379.0,1494.5,1650.0,2133.5,1545.0,1714.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65973018814616,35.469125593939395]}"
114,847.0,1136.0,1540.0,1803.0,1944.0,2073.0,2249.0,3189.0,2550.0,2291.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09658091081347,35.072160069886976]}"
115,902.0,1218.0,1639.0,1889.0,2041.0,2214.0,2399.0,3242.0,2463.0,2499.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07475184940937,34.898605556995086]}"
116,755.0,1188.0,1808.0,2242.0,2673.0,3012.0,3463.0,2678.0,1648.0,3496.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.42985130693997,34.76574472647381]}"
117,369.0,727.0,733.5,1336.5,2272.0,2465.5,2708.0,2032.0,1149.5,2729.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24309155937152,35.25703335535878]}"
118,623.0,886.5,1265.0,1433.0,1546.0,1648.5,1794.5,2517.0,1999.5,1831.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.90308379861413,35.822163500598364]}"
119,300.0,462.0,708.0,867.0,955.0,1085.0,1276.0,1681.0,1194.0,1318.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5796902963311,35.64025465556416]}"
120,776.0,1155.0,1629.0,1915.5,2060.0,2152.5,2314.0,3276.0,2520.5,2417.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21111610953871,35.20529039499349]}"
121,384.0,612.5,766.5,1006.5,1293.0,1389.5,1573.5,1758.0,1133.0,1551.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28216827423071,35.716791117771145]}"
122,763.0,1096.5,1625.5,1914.0,2060.0,2252.5,2486.5,3178.0,2270.0,2553.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17096141633857,35.22792794015331]}"
123,485.0,748.5,1113.0,1403.5,1565.5,1758.5,1957.5,3038.0,2151.0,2046.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.29708488222894,35.35620736272557]}"
124,534.0,935.0,1065.0,1688.0,2722.0,3069.0,3358.0,2314.0,1379.0,3372.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6397875888387,34.81317577347532]}"
125,490.0,740.5,997.0,1241.5,1420.5,1514.5,1660.0,2056.0,1545.5,1707.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64140455635011,35.59983046777879]}"
126,724.0,1100.0,1576.0,1823.0,1888.0,2072.0,2252.0,3116.0,2446.0,2276.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.02004444860648,34.87623750642051]}"
127,438.5,779.0,842.5,1369.5,2150.0,2342.0,2544.0,2399.0,1624.5,2533.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.25369625400597,35.77634942110827]}"
128,546.5,851.5,1173.0,1528.5,1606.0,1831.5,2009.0,2589.0,2038.0,2052.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86778000794823,34.86680519593725]}"
129,740.0,1040.0,1395.0,1651.5,1770.5,1910.5,2119.0,2728.5,2061.5,2134.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28189877964547,34.93876025019523]}"
130,619.0,904.0,1350.0,1633.0,1784.0,1960.0,2195.0,2610.0,1783.0,2261.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51016069334025,35.595249059829776]}"
131,491.0,855.5,1022.5,1718.0,2795.5,3038.5,3369.0,2483.5,1470.0,3305.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.78369769735464,34.76251079145098]}"
132,577.0,825.0,1226.0,1440.0,1511.0,1702.0,1852.0,2229.0,1549.0,1907.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41260365348487,34.80994183845249]}"
133,672.0,1018.5,1414.0,1599.5,1683.5,1786.0,2002.0,2598.5,1950.5,2006.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79932838329833,35.23924671273321]}"
134,537.0,864.5,1126.0,1439.5,1714.0,1835.0,2000.0,2393.0,1738.0,1991.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.8300507660152,35.165405196378586]}"
135,583.0,871.0,1265.5,1680.0,2088.0,2272.5,2565.0,3236.5,2175.0,2605.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27660329375102,35.07054310237557]}"
136,412.0,724.0,837.0,1282.5,2067.0,2254.0,2434.5,2222.5,1327.0,2490.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26114769658231,35.283174330126656]}"
